texto_incidencia,componente,asignacion_departamento,bloqueante,interrumpe_tat,horas_desde_revision
Fisura metalúrgica localizada en el larguero principal del fuselaje detectado durante las pruebas funcionales rutinarias de prevuelo.,Estructura,Ingenieria,SI,,860.3
Desgaste asimétrico crítico en las mangueras del líquido de frenos que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Ingenieria,SI,SI,434.0
Desviación estructural observada en el mamparo de presión posterior debido presumiblemente a condiciones ambientales extremas en operación.,,Ingenieria,SI,SI,465.6
Luz de aviso activada en cabina referente a los sensores de proximidad de bloqueo identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Mantenimiento,NO,NO,114.0
Cambio de filtros y purga manual de el estabilizador horizontal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Mantenimiento,NO,,394.5
Lote de consumibles caducado utilizado en el actuador hidráulico principal detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Calidad,SI,NO,1138.6
Incumplimiento de la norma aeronáutica en los soportes del pilón del motor observado tras la limpieza por ultrasonidos en la línea de reparación.,,Calidad,NO,NO,1157.3
Tornillería suministrada sin trazabilidad para las tijeras de amortiguación tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Calidad,SI,SI,918.1
Ajuste de tensión requerido en las líneas de el álabe del compresor CFM56 identificado en la fase de control de calidad final antes de entrega.,Motor,Mantenimiento,NO,SI,945.1
Daño por herramientas (FOD) causado por el operario en las mangueras del líquido de frenos identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Calidad,SI,SI,941.0
Pieza recibida con embalaje dañado afectando a el pasador de seguridad del tren observado tras la limpieza por ultrasonidos en la línea de reparación.,Tren_Aterrizaje,Calidad,SI,SI,369.4
Ajuste de tensión requerido en las líneas de el pasador de seguridad del tren observado tras la limpieza por ultrasonidos en la línea de reparación.,Tren_Aterrizaje,Mantenimiento,NO,NO,
Discrepancy en planos de diseño de el eje de transmisión principal que requiere parada inmediata según el manual general de mantenimiento.,Motor,Ingenieria,SI,SI,103.8
Fallo catastrófico del material en las sondas Pitot de respaldo tras la notificación formal del operador de la aerolínea.,Electronica,Ingenieria,SI,SI,403.2
Error de trazabilidad detectada en las llantas del tren principal durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Calidad,SI,SI,1068.4
Anomalía en el comportamiento aerodinámico de las compuertas de la bodega de carga identificado en la fase de control de calidad final antes de entrega.,Estructura,Ingenieria,SI,SI,
No coinciden los números de serie en las compuertas de la bodega de carga reportado por el operario del turno de noche en el hangar 3.,Estructura,Calidad,NO,SI,
Documentación del proveedor incompleta para el borde de ataque del ala izquierda durante la inspección visual tras la llegada del vuelo.,,Calidad,NO,NO,16.7
Desviación estructural observada en las tijeras de amortiguación durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Ingenieria,SI,NO,
Fuga de fluido hidráulico localizada en la turbina de alta presión identificado en la recepción de materiales de la cadena de suministro.,Motor,Mantenimiento,NO,NO,564.4
Desviación estructural observada en el muelle de extensión del amortiguador detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Tren_Aterrizaje,Ingenieria,SI,SI,612.5
Holgura fuera de tolerancia en las sondas Pitot de respaldo identificado en la recepción de materiales de la cadena de suministro.,Electronica,Ingenieria,SI,SI,1190.3
Auditoría interna detecta desviación en el proceso de el panel de aviónica principal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Electronica,Calidad,SI,NO,824.3
Deformación por carga térmica en el borde de ataque del ala izquierda identificado en la fase de control de calidad final antes de entrega.,Estructura,Ingenieria,SI,SI,1127.7
Cambio de filtros y purga manual de las sondas Pitot de respaldo tras la notificación formal del operador de la aerolínea.,Electronica,Mantenimiento,NO,NO,928.8
Acumulación de suciedad y residuos en las baterías de emergencia de litio durante la inspección visual tras la llegada del vuelo.,Electronica,Mantenimiento,NO,SI,871.0
Necesidad de rediseño en el soporte de el actuador hidráulico principal durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Ingenieria,SI,NO,298.9
Fallo catastrófico del material en las pastillas de freno del tren de morro reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Ingenieria,SI,SI,339.4
